dayid	day	hour	value
7	Saturday	23	11358
7	Saturday	22	12185
7	Saturday	21	12031
7	Saturday	20	12347
7	Saturday	19	13794
7	Saturday	18	17031
7	Saturday	17	17946
7	Saturday	16	17477
7	Saturday	15	18202
7	Saturday	14	17911
7	Saturday	13	17810
7	Saturday	12	17625
7	Saturday	11	15853
7	Saturday	10	13176
7	Saturday	9	10639
7	Saturday	8	8435
7	Saturday	7	6913
7	Saturday	6	5540
7	Saturday	5	5136
7	Saturday	4	5531
7	Saturday	3	7170
7	Saturday	2	10620
7	Saturday	1	12942
7	Saturday	0	9282
6	Friday	23	10720
6	Friday	22	11971
6	Friday	21	13021
6	Friday	20	13981
6	Friday	19	17417
6	Friday	18	24012
6	Friday	17	29177
6	Friday	16	27539
6	Friday	15	29275
6	Friday	14	23694
6	Friday	13	19820
6	Friday	12	18704
6	Friday	11	15841
6	Friday	10	13988
6	Friday	9	13836
6	Friday	8	17816
6	Friday	7	17257
6	Friday	6	9379
6	Friday	5	5895
6	Friday	4	3618
6	Friday	3	3729
6	Friday	2	5257
6	Friday	1	8223
6	Friday	0	5811
5	Thursday	23	7139
5	Thursday	22	8999
5	Thursday	21	10613
5	Thursday	20	11523
5	Thursday	19	14461
5	Thursday	18	22102
5	Thursday	17	28053
5	Thursday	16	24685
5	Thursday	15	25241
5	Thursday	14	20430
5	Thursday	13	17274
5	Thursday	12	16434
5	Thursday	11	14528
5	Thursday	10	13826
5	Thursday	9	15167
5	Thursday	8	20932
5	Thursday	7	20900
5	Thursday	6	10489
5	Thursday	5	6120
5	Thursday	4	3233
5	Thursday	3	2917
5	Thursday	2	3873
5	Thursday	1	6585
5	Thursday	0	4852
4	Wednesday	23	6199
4	Wednesday	22	7914
4	Wednesday	21	9515
4	Wednesday	20	10636
4	Wednesday	19	14147
4	Wednesday	18	22018
4	Wednesday	17	27795
4	Wednesday	16	24020
4	Wednesday	15	24122
4	Wednesday	14	20196
4	Wednesday	13	17595
4	Wednesday	12	16644
4	Wednesday	11	14489
4	Wednesday	10	13736
4	Wednesday	9	15430
4	Wednesday	8	22013
4	Wednesday	7	21439
4	Wednesday	6	10802
4	Wednesday	5	6103
4	Wednesday	4	3298
4	Wednesday	3	2674
4	Wednesday	2	3487
4	Wednesday	1	6207
4	Wednesday	0	4535
3	Tuesday	23	5788
3	Tuesday	22	7580
3	Tuesday	21	9169
3	Tuesday	20	10182
3	Tuesday	19	13402
3	Tuesday	18	21317
3	Tuesday	17	27815
3	Tuesday	16	24229
3	Tuesday	15	25126
3	Tuesday	14	20120
3	Tuesday	13	16914
3	Tuesday	12	16556
3	Tuesday	11	14320
3	Tuesday	10	13965
3	Tuesday	9	15801
3	Tuesday	8	22404
3	Tuesday	7	22308
3	Tuesday	6	10960
3	Tuesday	5	6250
3	Tuesday	4	2943
3	Tuesday	3	2390
3	Tuesday	2	3059
3	Tuesday	1	5984
3	Tuesday	0	4161
2	Monday	23	5607
2	Monday	22	7051
2	Monday	21	8800
2	Monday	20	9758
2	Monday	19	12213
2	Monday	18	19355
2	Monday	17	25093
2	Monday	16	22689
2	Monday	15	23752
2	Monday	14	19575
2	Monday	13	16533
2	Monday	12	16152
2	Monday	11	14076
2	Monday	10	13153
2	Monday	9	14256
2	Monday	8	19308
2	Monday	7	19252
2	Monday	6	10289
2	Monday	5	6285
2	Monday	4	3443
2	Monday	3	3135
2	Monday	2	4344
2	Monday	1	7433
2	Monday	0	5618
1	Sunday	23	7184
1	Sunday	22	8973
1	Sunday	21	11217
1	Sunday	20	12200
1	Sunday	19	12738
1	Sunday	18	14350
1	Sunday	17	15285
1	Sunday	16	14497
1	Sunday	15	15014
1	Sunday	14	15163
1	Sunday	13	14843
1	Sunday	12	13713
1	Sunday	11	11948
1	Sunday	10	9918
1	Sunday	9	7796
1	Sunday	8	6072
1	Sunday	7	5215
1	Sunday	6	4760
1	Sunday	5	4833
1	Sunday	4	5681
1	Sunday	3	8055
1	Sunday	2	11304
1	Sunday	1	14016
1	Sunday	0	10105
